fold,held_out_group,batch_size,sequence_length,new_tokens,budget_mib,policy,prediction_extrapolates_from_fold_range,oracle_gpu_layers,oracle_generation_ms,selected_gpu_layers,actual_selected_peak_mib,actual_selected_generation_ms,regret_pct,budget_excess_mib,matches_oracle,status
4,2/32/32,2,32,32,320,max_gpu,False,3,1139.652447,3,250.03857421875,1139.652447,0.0,0.0,True,feasible
4,2/32/32,2,32,32,320,compute,False,3,1139.652447,3,250.03857421875,1139.652447,0.0,0.0,True,feasible
4,2/32/32,2,32,32,320,compute_transfer,False,3,1139.652447,3,250.03857421875,1139.652447,0.0,0.0,True,feasible
4,2/32/32,2,32,32,384,max_gpu,False,6,891.9043505,6,338.54736328125,891.9043505,0.0,0.0,True,feasible
4,2/32/32,2,32,32,384,compute,False,6,891.9043505,6,338.54736328125,891.9043505,0.0,0.0,True,feasible
4,2/32/32,2,32,32,384,compute_transfer,False,6,891.9043505,6,338.54736328125,891.9043505,0.0,0.0,True,feasible
4,2/32/32,2,32,32,448,max_gpu,False,9,598.2150220000001,6,338.54736328125,891.9043505,49.09427508492086,0.0,False,feasible
4,2/32/32,2,32,32,448,compute,False,9,598.2150220000001,6,338.54736328125,891.9043505,49.09427508492086,0.0,False,feasible
4,2/32/32,2,32,32,448,compute_transfer,False,9,598.2150220000001,6,338.54736328125,891.9043505,49.09427508492086,0.0,False,feasible
4,2/32/32,2,32,32,512,max_gpu,False,9,598.2150220000001,9,427.05615234375,598.2150220000001,0.0,0.0,True,feasible
4,2/32/32,2,32,32,512,compute,False,9,598.2150220000001,9,427.05615234375,598.2150220000001,0.0,0.0,True,feasible
4,2/32/32,2,32,32,512,compute_transfer,False,9,598.2150220000001,9,427.05615234375,598.2150220000001,0.0,0.0,True,feasible
4,2/32/32,2,32,32,640,max_gpu,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,640,compute,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,640,compute_transfer,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,768,max_gpu,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,768,compute,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,768,compute_transfer,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,1024,max_gpu,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,1024,compute,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
4,2/32/32,2,32,32,1024,compute_transfer,False,12,293.389837,12,515.56494140625,293.389837,0.0,0.0,True,feasible
5,2/512/32,2,512,32,256,max_gpu,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,256,compute,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,256,compute_transfer,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,320,max_gpu,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,320,compute,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,320,compute_transfer,False,0,5157.239482999999,0,0.0,5157.239482999999,0.0,0.0,True,feasible
5,2/512/32,2,512,32,384,max_gpu,False,3,4480.2067065,3,325.8779296875,4480.2067065,0.0,0.0,True,feasible
5,2/512/32,2,512,32,384,compute,False,3,4480.2067065,3,325.8779296875,4480.2067065,0.0,0.0,True,feasible
5,2/512/32,2,512,32,384,compute_transfer,False,3,4480.2067065,3,325.8779296875,4480.2067065,0.0,0.0,True,feasible
5,2/512/32,2,512,32,448,max_gpu,False,6,2361.4388085,3,325.8779296875,4480.2067065,89.72359945866452,0.0,False,feasible
5,2/512/32,2,512,32,448,compute,False,6,2361.4388085,3,325.8779296875,4480.2067065,89.72359945866452,0.0,False,feasible
5,2/512/32,2,512,32,448,compute_transfer,False,6,2361.4388085,3,325.8779296875,4480.2067065,89.72359945866452,0.0,False,feasible
5,2/512/32,2,512,32,512,max_gpu,False,6,2361.4388085,6,427.9921875,2361.4388085,0.0,0.0,True,feasible
5,2/512/32,2,512,32,512,compute,False,6,2361.4388085,6,427.9921875,2361.4388085,0.0,0.0,True,feasible
5,2/512/32,2,512,32,512,compute_transfer,False,6,2361.4388085,6,427.9921875,2361.4388085,0.0,0.0,True,feasible
5,2/512/32,2,512,32,640,max_gpu,False,9,1356.301369,9,530.1064453125,1356.301369,0.0,0.0,True,feasible
5,2/512/32,2,512,32,640,compute,False,9,1356.301369,9,530.1064453125,1356.301369,0.0,0.0,True,feasible
5,2/512/32,2,512,32,640,compute_transfer,False,9,1356.301369,9,530.1064453125,1356.301369,0.0,0.0,True,feasible
5,2/512/32,2,512,32,768,max_gpu,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
5,2/512/32,2,512,32,768,compute,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
5,2/512/32,2,512,32,768,compute_transfer,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
5,2/512/32,2,512,32,1024,max_gpu,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
5,2/512/32,2,512,32,1024,compute,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
5,2/512/32,2,512,32,1024,compute_transfer,False,12,380.9319875,12,655.24462890625,380.9319875,0.0,0.0,True,feasible
6,4/128/32,4,128,32,256,max_gpu,False,0,4361.8602465,0,0.0,4361.8602465,0.0,0.0,True,feasible
6,4/128/32,4,128,32,256,compute,False,0,4361.8602465,0,0.0,4361.8602465,0.0,0.0,True,feasible
6,4/128/32,4,128,32,256,compute_transfer,False,0,4361.8602465,0,0.0,4361.8602465,0.0,0.0,True,feasible
6,4/128/32,4,128,32,320,max_gpu,False,3,2667.7708075,3,283.3740234375,2667.7708075,0.0,0.0,True,feasible
6,4/128/32,4,128,32,320,compute,False,3,2667.7708075,3,283.3740234375,2667.7708075,0.0,0.0,True,feasible
6,4/128/32,4,128,32,320,compute_transfer,False,3,2667.7708075,3,283.3740234375,2667.7708075,0.0,0.0,True,feasible
6,4/128/32,4,128,32,384,max_gpu,False,6,1953.1726565,3,283.3740234375,2667.7708075,36.58653261512113,0.0,False,feasible
6,4/128/32,4,128,32,384,compute,False,6,1953.1726565,3,283.3740234375,2667.7708075,36.58653261512113,0.0,False,feasible
6,4/128/32,4,128,32,384,compute_transfer,False,6,1953.1726565,3,283.3740234375,2667.7708075,36.58653261512113,0.0,False,feasible
6,4/128/32,4,128,32,448,max_gpu,False,6,1953.1726565,6,379.48828125,1953.1726565,0.0,0.0,True,feasible
6,4/128/32,4,128,32,448,compute,False,6,1953.1726565,6,379.48828125,1953.1726565,0.0,0.0,True,feasible
6,4/128/32,4,128,32,448,compute_transfer,False,6,1953.1726565,6,379.48828125,1953.1726565,0.0,0.0,True,feasible
6,4/128/32,4,128,32,512,max_gpu,False,9,1186.021405,6,379.48828125,1953.1726565,64.6827492544285,0.0,False,feasible
6,4/128/32,4,128,32,512,compute,False,9,1186.021405,6,379.48828125,1953.1726565,64.6827492544285,0.0,False,feasible
6,4/128/32,4,128,32,512,compute_transfer,False,9,1186.021405,6,379.48828125,1953.1726565,64.6827492544285,0.0,False,feasible
6,4/128/32,4,128,32,640,max_gpu,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
6,4/128/32,4,128,32,640,compute,False,12,360.088504,12,590.43896484375,360.088504,0.0,0.0,True,feasible
