bytes,pinned,direction,trial,wall_ms,cuda_event_span_ms,wall_effective_GB_per_s,event_span_effective_GB_per_s
3072,False,D2H,39,0.062585,0.0398080013692379,0.04908524406806743,0.07717041535207352
3072,False,D2H,40,0.057585,0.03641600161790848,0.05334722584006252,0.08435851997791179
3072,False,D2H,41,0.05552,0.03481600061058998,0.0553314121037464,0.08823529257020951
3072,False,D2H,42,0.054968,0.03356799855828285,0.055887061563091256,0.09151573319649076
3072,False,D2H,43,0.072623,0.03862399980425835,0.04230064855486554,0.0795360401710987
3072,False,D2H,44,0.056705,0.03497600182890892,0.054175116832730796,0.08783165139992878
3072,False,D2H,45,0.054911,0.03388800099492073,0.055945074757334595,0.09065155541220751
3072,False,D2H,46,0.09104,0.06896000355482101,0.03374340949033392,0.044547561508720884
3072,False,D2H,47,0.06063,0.0387520007789135,0.050667986145472535,0.07927332623485074
3072,False,D2H,48,0.060213,0.03852799907326698,0.05101888296547257,0.0797342211869896
3072,False,D2H,49,0.061498,0.039744000881910324,0.049952843994926666,0.0772946842751867
3072,True,H2D,0,0.056003,0.029791999608278275,0.054854204239058624,0.10311493153841161
3072,True,H2D,1,0.050495,0.02844800055027008,0.060837706703634024,0.10798649959850465
3072,True,H2D,2,0.049471,0.026784000918269157,0.06209698611307635,0.11469533656954936
3072,True,H2D,3,0.049119,0.027456000447273254,0.06254198986135712,0.11188811006539338
3072,True,H2D,4,0.048912,0.02707199938595295,0.06280667320902845,0.11347517987880834
3072,True,H2D,5,0.048774,0.027103999629616737,0.06298437692213064,0.11334120579913244
3072,True,H2D,6,0.057197,0.028672000393271446,0.05370911061768974,0.10714285567326222
3072,True,H2D,7,0.052709,0.028416000306606293,0.058282266785558444,0.10810810694163056
3072,True,H2D,8,0.059121,0.028416000306606293,0.051961232049525546,0.10810810694163056
3072,True,H2D,9,0.058154,0.03686400130391121,0.05282525707603948,0.08333333038576217
3072,True,H2D,10,0.045236,0.024639999493956566,0.06791051375011053,0.12467532723584135
3072,True,H2D,11,0.046542,0.026496000587940216,0.06600489880108289,0.11594202641278004
3072,True,H2D,12,0.051942,0.028704000636935234,0.05914289014670209,0.10702340899641234
3072,True,H2D,13,0.045417,0.025567999109625816,0.06763987053306031,0.12015019191875113
3072,True,H2D,14,0.0465,0.02521600015461445,0.06606451612903226,0.12182741042051563
3072,True,H2D,15,0.044651,0.02457600086927414,0.06880025083424783,0.12499999557864325
3072,True,H2D,16,0.046372,0.025280000641942024,0.06624687311308548,0.12151898425600702
3072,True,H2D,17,0.04534,0.025728000327944756,0.06775474194971327,0.11940298355264373
3072,True,H2D,18,0.045209,0.024447999894618988,0.06795107168926541,0.12565445080340287
3072,True,H2D,19,0.046714,0.024607999250292778,0.06576187010318106,0.12483745503866799
3072,True,H2D,20,0.046522,0.026623999699950218,0.06603327457976871,0.11538461668498833
3072,True,H2D,21,0.047606,0.026976000517606735,0.06452968113263034,0.11387900137364554
3072,True,H2D,22,0.04479,0.024191999807953835,0.06858673811118553,0.12698412799217984
3072,True,H2D,23,0.045828,0.02518399991095066,0.0670332547787379,0.12198221135889593
3072,True,H2D,24,0.045222,0.024992000311613083,0.06793153774711423,0.1229193326543185
3072,True,H2D,25,0.053482,0.026528000831604004,0.05743988631689166,0.11580216766052676
3072,True,H2D,26,0.046113,0.02470399998128414,0.0666189577776332,0.12435233170042749
3072,True,H2D,27,0.04494,0.02457600086927414,0.06835781041388518,0.12499999557864325
3072,True,H2D,28,0.072273,0.02454400062561035,0.04250549997924536,0.1251629694302783
3072,True,H2D,29,0.05478,0.029472000896930695,0.05607886089813801,0.10423452451509417
3072,True,H2D,30,0.046248,0.025567999109625816,0.06642449403217436,0.12015019191875113
3072,True,H2D,31,0.044969,0.024671999737620354,0.06831372723431697,0.12451362000120945
3072,True,H2D,32,0.050301,0.030047999694943428,0.061072344486193114,0.10223642276317534
3072,True,H2D,33,0.047306,0.02659199945628643,0.06493890838371454,0.11552346806602276
3072,True,H2D,34,0.044996,0.024671999737620354,0.06827273535425371,0.12451362000120945
3072,True,H2D,35,0.046235,0.025696000084280968,0.0664431707580837,0.11955168080339619
3072,True,H2D,36,0.044645,0.024671999737620354,0.06880949714413707,0.12451362000120945
3072,True,H2D,37,0.045411,0.02611199952661991,0.06764880755764022,0.11764706095633334
3072,True,H2D,38,0.049109,0.026048000901937485,0.0625547252031196,0.11793611385246461
3072,True,H2D,39,0.044556,0.02457600086927414,0.06894694317263668,0.12499999557864325
3072,True,H2D,40,0.045513,0.02457600086927414,0.06749719860259706,0.12499999557864325
3072,True,H2D,41,0.050717,0.02457600086927414,0.06057140603742335,0.12499999557864325
3072,True,H2D,42,0.047234,0.026623999699950218,0.06503789643053733,0.11538461668498833
3072,True,H2D,43,0.04512,0.024992000311613083,0.06808510638297872,0.1229193326543185
3072,True,H2D,44,0.044561,0.02473600022494793,0.06893920692982652,0.12419146070760786
3072,True,H2D,45,0.082703,0.05782400071620941,0.03714496451156548,0.05312672872769329
3072,True,H2D,46,0.050234,0.028575999662280083,0.06115380021499383,0.10750280082257269
3072,True,H2D,47,0.046417,0.026399999856948853,0.0661826485985738,0.11636363699416484
3072,True,H2D,48,0.045125,0.02489599958062172,0.0680775623268698,0.12339331827395877
3072,True,H2D,49,0.045962,0.026464000344276428,0.06683782254906227,0.1160822233991697
3072,True,D2H,0,0.048274,0.02425600029528141,0.06363674027426772,0.1266490749753827
3072,True,D2H,1,0.04509,0.024000000208616257,0.06813040585495675,0.12799999888737998
3072,True,D2H,2,0.049195,0.026623999699950218,0.062445370464478095,0.11538461668498833
3072,True,D2H,3,0.044463,0.023903999477624893,0.06909115444302004,0.1285140590333227
3072,True,D2H,4,0.044843,0.024671999737620354,0.0685056753562429,0.12451362000120945
3072,True,D2H,5,0.058003,0.03743999823927879,0.05296277778735583,0.08205128590997433
3072,True,D2H,6,0.047846,0.025760000571608543,0.0642059942314927,0.11925465573885947
3072,True,D2H,7,0.044974,0.024351999163627625,0.06830613243207187,0.1261498072235633
3072,True,D2H,8,0.044149,0.023679999634623528,0.06958255000113253,0.12972973173142702
