case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,1,4,362.485438,706.2352667529779,363.461064,1337.255633,973.794569,31.412728032258062,31.834229710106342,23.929605686693712,15869952,5289984,287,"[30.726424, 30.828797, 30.478267, 55.849762, 30.435086, 30.155761, 29.821399, 29.856678, 30.466092, 29.919212, 30.045475, 30.213178, 34.81076, 32.699015, 29.821176, 29.239398, 30.115422, 30.224419, 29.788366, 30.030726, 34.42891, 30.506836, 31.185508, 30.886611, 30.045331, 30.266045, 30.082862, 30.070727, 30.408464, 30.112395, 30.249066]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,0,0,251.022661,1019.8282457056736,259.002297,996.254969,737.252672,23.78234425806452,42.04799952220451,32.12029148734916,10579968,10579968,287,"[24.116694, 24.222502, 23.446102, 22.897825, 33.255919, 39.27103, 22.486817, 22.466717, 22.468538, 22.652285, 23.272846, 22.582125, 22.785679, 22.791636, 23.680008, 26.76852, 23.558293, 23.331963, 22.404378, 22.114483, 22.312213, 22.073835, 22.379753, 22.704754, 22.346137, 22.343204, 22.490911, 22.528933, 22.389483, 22.421856, 22.6606]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,0,1,256.027879,999.8911095146792,277.12588,992.478121,715.352241,23.075878741935487,43.33529445111503,32.242524366942696,10579968,10579968,287,"[23.452848, 23.457438, 22.688344, 22.719822, 25.293967, 23.400467, 22.966722, 22.935294, 22.538402, 22.412858, 22.341829, 22.275331, 22.387337, 22.308221, 22.37782, 22.925051, 22.470972, 22.816921, 22.931631, 22.871492, 23.049769, 22.880028, 22.851241, 23.200121, 22.99671, 22.987974, 22.960638, 22.970431, 22.866167, 27.361161, 23.628566]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,0,2,274.796693,931.5978194832206,255.861642,968.943311,713.081669,23.00263448387097,43.47328131919768,33.02566789689103,10579968,10579968,287,"[23.402057, 22.905345, 23.097435, 22.654227, 22.970564, 23.024844, 23.090449, 22.915626, 22.343532, 22.659562, 23.03177, 22.390501, 22.363698, 22.602375, 22.852919, 22.670749, 22.664301, 22.804575, 25.914759, 25.161326, 22.320544, 25.826442, 23.103545, 22.963033, 22.710052, 22.486504, 22.911678, 22.466458, 22.150531, 22.386739, 22.20913]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,0,3,283.973383,901.4929402732084,251.075387,991.661584,740.586197,23.889877322580645,41.85873315702642,32.269072954226694,10579968,10579968,287,"[23.288522, 23.079452, 23.091204, 23.146947, 22.677913, 23.065418, 22.667806, 26.093703, 25.436205, 22.181891, 25.989552, 23.107891, 22.794947, 22.590621, 22.532988, 22.262028, 22.410798, 22.134423, 22.186588, 22.007352, 22.623148, 23.299985, 22.91491, 36.664257, 34.605043, 22.965647, 23.778071, 22.789642, 22.763646, 22.855159, 22.546494]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,0,4,247.496942,1034.3562143891056,250.856927,983.778154,732.9212269999999,23.64262022580645,42.29649634639386,32.527658669680115,10579968,10579968,287,"[27.404082, 23.826553, 23.473414, 23.001313, 22.815006, 22.742776, 23.061795, 22.736477, 22.863386, 22.848858, 22.624156, 22.815081, 22.673309, 22.558281, 30.576805, 42.183619, 23.357385, 23.265671, 22.091192, 22.01406, 22.116507, 22.23095, 22.137396, 22.748791, 22.441835, 22.138689, 22.156563, 22.194234, 21.796958, 22.026301, 21.972396]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,1,0,256.529223,997.9369874753022,261.293768,975.881556,714.587788,23.05121896774194,43.38165375980368,32.79086463234684,10579968,10579968,287,"[23.711054, 24.207541, 26.424802, 23.733906, 23.749909, 23.414883, 23.150722, 22.950663, 23.012644, 22.49294, 22.402734, 22.523296, 22.352009, 23.192134, 22.371767, 22.318738, 22.126916, 22.729083, 26.195419, 22.402576, 22.45148, 22.446769, 22.47412, 22.777898, 22.474457, 22.585406, 22.757621, 22.831728, 22.377649, 22.999848, 22.921683]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,1,1,276.892882,924.5452542907911,250.285307,992.564837,742.27953,23.944500967741934,41.76324248090204,32.23970748018751,10579968,10579968,287,"[23.409049, 23.41415, 22.860924, 23.331728, 23.250598, 23.05228, 23.054786, 23.119208, 25.823196, 22.34533, 22.233669, 22.432446, 22.646353, 22.742382, 22.551978, 22.530041, 22.845752, 22.742791, 22.543728, 22.433687, 22.700003, 22.704017, 22.193391, 22.600998, 25.55762, 37.955114, 32.351849, 25.553062, 25.45986, 23.132156, 22.680894]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,1,2,255.56021,1001.720886048732,245.600273,976.848796,731.248523,23.588662032258064,42.39324802027669,32.758396315820406,10579968,10579968,287,"[23.494665, 23.183967, 22.79203, 22.81444, 22.942112, 22.438266, 22.502294, 21.891124, 22.036575, 22.293145, 22.32918, 22.810597, 22.589241, 22.323159, 22.329519, 22.507335, 22.249062, 44.114877, 30.65005, 22.418122, 22.613427, 22.560707, 22.282465, 22.525057, 24.624978, 23.202844, 22.412975, 22.556309, 22.518702, 22.586463, 22.628498]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,1,3,247.6634,1033.661009256919,243.493236,963.891316,720.3980799999999,23.23864774193548,43.031763771497005,33.1987636664215,10579968,10579968,287,"[22.485687, 22.600059, 22.040256, 22.277604, 22.66229, 22.106615, 21.753595, 21.877773, 23.966105, 41.685886, 32.138729, 22.210242, 22.19579, 23.161563, 21.927158, 24.200117, 22.077058, 21.602026, 21.977667, 21.643932, 21.915925, 21.692877, 22.993937, 22.561005, 22.273891, 21.981339, 21.991826, 22.316919, 21.91582, 22.148527, 21.98913]"
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,1,4,252.005765,1015.8497762938082,258.153752,997.772808,739.619056,23.85867922580645,41.913468492353175,32.07142923061098,10579968,10579968,287,"[22.8327, 38.181972, 32.69005, 22.270696, 22.304254, 32.292208, 30.234921, 21.466301, 22.148011, 22.517406, 22.031038, 23.264639, 22.43203, 22.501447, 22.338907, 22.479006, 22.678656, 21.645586, 21.811954, 21.668741, 22.714153, 25.987714, 22.240983, 22.021021, 22.660249, 22.204637, 22.344123, 22.685847, 22.377652, 22.383164, 22.181298]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,0,0,139.690499,1832.6228471701572,141.981748,628.964353,486.9826049999999,15.709116290322578,63.657304556083695,50.87728715843456,5289984,15869952,287,"[16.76112, 16.01201, 15.969271, 15.760182, 15.372799, 16.10211, 15.469194, 15.176216, 15.368904, 15.383135, 15.548193, 15.563387, 15.662553, 15.132908, 15.179275, 15.09505, 16.125628, 15.363454, 15.262024, 15.366561, 15.10757, 15.778546, 16.388636, 18.797278, 17.033131, 15.350358, 15.327552, 15.188397, 15.403734, 15.503064, 15.403511]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,0,1,140.235608,1825.4992697717685,168.279629,649.22961,480.949981,15.514515516129032,64.45576717883269,49.28918753412987,5289984,15869952,287,"[16.449682, 16.050269, 15.91011, 15.99687, 15.782635, 15.500082, 15.147921, 15.323171, 15.3405, 15.151178, 17.610361, 15.573224, 15.141014, 15.588228, 15.09749, 15.692269, 15.841162, 15.302194, 15.595394, 15.133847, 15.311539, 15.11406, 14.989401, 15.122911, 15.397611, 14.978379, 15.190978, 15.109132, 15.07112, 15.858225, 15.55253]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,0,2,146.413319,1748.4748091804408,541.737998,2088.731707,1546.993709,49.90302287096774,20.038866234329337,15.320301737536656,5289984,15869952,287,"[135.563069, 101.593071, 47.580994, 44.937832, 38.999166, 34.172332, 33.916352, 61.816467, 138.966558, 36.851185, 33.155751, 126.098779, 46.527156, 39.429361, 40.37182, 27.582247, 24.853335, 27.006413, 23.373701, 31.627523, 20.101733, 28.406311, 29.450537, 28.142376, 22.095234, 26.983894, 30.837188, 29.079374, 24.054862, 129.093158, 84.263526]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,0,3,309.250358,827.8082575412895,271.255678,751.868924,480.613246,15.503653096774194,64.50092721747416,42.560609939505895,5289984,15869952,287,"[18.315267, 15.837299, 15.446165, 15.395258, 15.173514, 15.346772, 15.44926, 15.153921, 15.490613, 15.98065, 15.599575, 15.209467, 15.257949, 15.247914, 15.306401, 15.297579, 15.705977, 15.903742, 16.00572, 15.188974, 15.25784, 15.379115, 15.34543, 15.233034, 15.86828, 15.83834, 14.998447, 14.966677, 15.166596, 15.123125, 15.09769]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,0,4,137.179575,1866.16702960335,139.064048,641.462818,502.39877,16.20641193548387,61.70397272270392,49.88597795858528,5289984,15869952,287,"[16.265464, 15.955811, 15.72661, 15.474481, 15.333306, 15.30632, 15.206735, 15.299125, 17.897836, 16.476055, 32.363596, 20.034152, 15.410586, 15.530149, 15.143136, 15.035208, 15.332309, 15.402118, 15.253211, 15.102961, 15.222824, 15.480771, 14.932611, 14.923884, 15.541664, 15.278119, 15.291028, 15.278986, 15.459171, 15.304043, 16.109132]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,1,0,150.167464,1704.7634233205138,139.39836,644.458642,505.060282,16.292267161290322,61.37881180686467,49.654078500199546,5289984,15869952,287,"[16.236945, 15.891019, 16.019813, 15.768386, 15.653126, 15.357522, 15.207881, 15.602103, 15.391614, 15.432999, 15.708674, 15.27395, 16.078078, 15.119156, 15.123656, 15.292029, 15.134866, 15.139244, 29.767856, 28.105119, 15.450061, 15.126238, 15.571806, 15.156087, 15.125478, 15.080171, 14.967154, 15.303679, 15.525998, 15.299716, 15.123228]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,1,1,136.205941,1879.5068564593669,152.320067,632.102475,479.782408,15.476851870967742,64.61262331235788,50.62470290121866,5289984,15869952,287,"[17.235189, 15.924233, 15.698566, 16.624577, 15.76489, 15.91869, 15.269229, 15.341235, 15.01763, 16.540771, 16.526862, 15.456555, 15.038666, 15.204503, 15.139944, 15.249438, 15.203568, 15.077537, 14.995005, 15.31941, 15.475115, 14.999919, 15.213047, 14.923889, 15.306723, 14.830418, 15.048381, 15.249447, 15.086795, 15.371191, 15.704227]"
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,1,2,165.519415,1546.646355655619,138.625484,623.015769,484.390285,15.625493064516128,63.99798047147045,51.3630659001827,5289984,15869952,287,"[16.102046, 15.929772, 15.425479, 15.233936, 15.626677, 15.326068, 15.375272, 15.228641, 15.054267, 15.394871, 15.672833, 19.974838, 17.05126, 15.180304, 15.741259, 15.077782, 15.362964, 14.984976, 15.193303, 15.001808, 14.770393, 15.074569, 16.3472, 15.196165, 18.511901, 15.10616, 14.849164, 14.816874, 15.365982, 15.303915, 15.083338]"
