workload_id,budget_mib,policy,selected_gpu_layers,selection_status,oracle_gpu_layers,observed_budget_violation,regret_pct,measured_generation_ms,measured_peak_mib,outcome
B3_S64_N32,512,compute,9,predicted_feasible,9,False,0.0,659.0200555,444.15869140625,feasible
B3_S64_N32,512,compute_transfer,9,predicted_feasible,9,False,0.0,659.0200555,444.15869140625,feasible
B3_S64_N32,640,max_gpu,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,640,compute,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,640,compute_transfer,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,768,compute,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,1024,compute,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
B3_S64_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,275.76109399999996,538.23974609375,feasible
