case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json,cpu_threads
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,0,3,1216.458317,631.3409915220301,2258.536833,4339.862384,2081.325551,67.1395339032258,44.683062654622645,22.12051708227622,47609856,15869952,287,"[86.076397, 80.571584, 90.563943, 93.931687, 139.26703, 262.870651, 256.538208, 41.809375, 43.219446, 42.391416, 42.373554, 46.140477, 45.50874, 42.340714, 74.456771, 42.489653, 42.09943, 42.263635, 42.471819, 42.343725, 43.174683, 43.728728, 44.708485, 44.26687, 44.547069, 43.302417, 43.630792, 43.247907, 44.617594, 42.87935, 43.456386]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,0,4,1229.359746,624.7154280908104,1299.294923,2671.912674,1372.6177510000002,44.27799196774194,67.7537500387462,35.92931795045634,47609856,15869952,287,"[47.586002, 43.288084, 46.599981, 42.837569, 44.149983, 43.241144, 45.795884, 42.303074, 41.690885, 41.954464, 42.266641, 41.915001, 42.242504, 45.556146, 44.139187, 41.477424, 41.66419, 42.674852, 45.541836, 42.589551, 42.472934, 70.083429, 43.892823, 43.404947, 44.291283, 44.300474, 42.656445, 42.347961, 43.038655, 44.709458, 41.875196]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,3,0,1229.09908,624.8479170613325,2252.280882,4268.616629,2016.335747,65.04308861290323,46.12327095741362,22.489721692924604,47609856,15869952,287,"[92.535547, 278.042871, 126.923994, 82.647869, 87.870161, 101.971459, 194.211833, 41.183591, 44.435134, 43.910841, 44.917468, 44.513929, 40.733453, 41.341504, 40.115706, 41.069913, 40.463178, 41.438786, 42.026489, 41.778401, 42.037901, 42.954639, 45.7104, 43.09106, 41.564681, 42.964348, 44.281727, 42.806385, 68.54328, 46.942014, 43.274901]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,3,1,1183.390986,648.9824657156886,1181.905098,2586.732711,1404.8276130000002,45.317019774193554,66.2002932882271,37.11245448428552,47609856,15869952,287,"[45.471992, 43.810197, 47.54186, 42.287439, 46.336878, 43.882053, 45.72249, 41.93173, 47.61358, 69.654283, 47.494162, 42.393128, 41.828658, 62.732709, 52.432377, 42.506826, 43.377041, 46.404209, 43.049711, 41.947484, 41.933298, 41.156492, 40.910959, 41.653536, 41.172353, 41.507164, 40.760591, 43.145705, 42.386305, 47.410727, 44.342119]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,3,2,1163.151247,660.2752668501416,1173.017374,2590.89349,1417.876116,45.73793922580645,65.59106183575773,37.0528546891366,47609856,15869952,287,"[52.919819, 61.135918, 48.388392, 42.658161, 47.226939, 42.52397, 47.581231, 42.913282, 46.941478, 42.075259, 47.956067, 42.136459, 41.795319, 43.575546, 42.507708, 43.532466, 42.866518, 43.436638, 43.789597, 42.970496, 46.35961, 42.385127, 42.488519, 43.290242, 71.435196, 43.235101, 43.578921, 43.36923, 43.034912, 46.70646, 43.031373]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,3,3,1174.640668,653.8169679648789,2115.75375,4258.163432,2142.4096820000004,69.1099897419355,43.40906446669054,22.54493082124613,47609856,15869952,287,"[139.043961, 91.490378, 99.00939, 78.037062, 110.447291, 109.984275, 115.438196, 101.335062, 95.860407, 91.593047, 108.876176, 80.360072, 88.557313, 77.993178, 48.38436, 42.561753, 41.962922, 41.805418, 42.410329, 42.777129, 42.025934, 66.848405, 42.780722, 42.056948, 42.086148, 43.233638, 42.048456, 41.386785, 42.63851, 46.743824, 42.602551]",2
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,3,4,1186.450323,647.3090234895574,1159.146169,2554.088751,1394.9425819999997,44.998147806451605,66.66941077005563,37.58679096895643,47609856,15869952,287,"[45.030274, 44.006936, 47.172836, 41.785773, 46.858551, 42.557714, 48.407415, 46.318773, 74.509891, 42.806962, 46.946115, 43.141941, 42.444609, 43.052596, 43.122941, 44.675546, 41.272655, 41.629822, 47.022124, 42.469481, 45.802604, 41.725545, 42.607592, 42.813515, 41.960095, 42.975386, 42.741543, 42.985101, 43.201931, 50.671779, 42.193995]",2
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,0,0,1035.709421,741.5207242765825,1813.453687,3507.478016,1694.024329,54.6459460967742,54.89885735873632,27.37009314444125,31739904,31739904,287,"[62.22483, 61.194499, 67.941815, 71.89199, 65.477757, 74.667677, 251.827723, 88.194348, 82.014267, 143.97575, 65.87695, 32.724854, 32.462021, 36.508894, 33.197908, 32.988079, 32.809114, 32.985096, 32.954924, 32.491395, 31.87796, 32.276384, 32.500106, 32.875983, 32.420668, 32.611536, 32.230661, 33.122083, 33.043127, 33.627369, 33.000168]",2
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,0,1,890.482087,862.454182079465,910.975204,1931.347989,1020.372785,32.915251129032264,91.1431599971573,49.70621583824788,31739904,31739904,287,"[31.910483, 31.877191, 31.756844, 31.203072, 31.385614, 31.744463, 31.375994, 33.28149, 30.711827, 31.09446, 31.079669, 30.494452, 31.488744, 34.079177, 59.240019, 31.401738, 31.528685, 31.237568, 32.410675, 42.606302, 33.379103, 31.179884, 31.92617, 31.861866, 31.501179, 31.243975, 31.135989, 31.385228, 31.843278, 31.640005, 31.33941]",2
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,0,2,876.468894,876.2433045342052,863.435776,1896.303886,1032.86811,33.31832612903226,90.04053770234034,50.62479738018108,31739904,31739904,287,"[32.434664, 33.843729, 32.857962, 32.837122, 33.231806, 32.962008, 32.277838, 31.783501, 30.73776, 30.690255, 30.735198, 31.859588, 32.763226, 32.43608, 32.747785, 34.634731, 32.153286, 32.479724, 32.112102, 32.406416, 34.437133, 33.439292, 31.494695, 32.042119, 31.807606, 31.83385, 58.46478, 36.35593, 32.640655, 31.066638, 31.271962]",2
