case_index,batch_size,sequence_length,new_tokens,gpu_layers,layout,prefill_ms_median,prefill_input_tokens_per_s_median,ttft_ms_median,generation_ms_median,decode_ms_median,decode_tpot_ms_median,decode_generated_tokens_per_s_median,generation_generated_tokens_per_s_median,repeats,generation_p95_over_median,pooled_generation_tokens_per_s,workload_group,gpu_peak_allocated_bytes,gpu_parameter_bytes,gpu_buffer_bytes,cpu_parameter_bytes,final_kv_gpu_bytes,final_cached_positions
37,4,32,32,6,prefix,151.439218,845.2236264639853,151.38436000000002,1432.543648,1272.156743,41.037314290322584,97.47226704276508,89.35431134003733,10,1.5379390871795617,80.6797266974258,B4_S32_N32,365018624,327650304,6291456,170108928,9289728,63
18,4,32,32,9,prefix,83.11041900000001,1540.1198546099558,83.3288955,909.1005205,826.815248,26.671459612903227,149.9746098049825,140.80072886793124,10,1.9505528133178522,119.88262853789676,B4_S32_N32,462434816,412704768,9437184,85054464,13934592,63
24,4,32,32,12,prefix,10.502395,12187.966884375826,10.620152000000001,307.163628,296.665539,9.569856096774194,417.98420168011353,416.7221960827036,10,1.0464117992837354,412.44492100163706,B4_S32_N32,559851008,497759232,12582912,0,18579456,63
25,4,128,32,0,prefix,1057.5203145,484.1568457629629,1061.0750094999999,4361.8602465,3231.9179735000002,104.25541849999999,38.36732707831735,29.355212301182156,10,1.4146451771812856,25.58531596135295,B4_S128_N32,0,0,0,497759232,0,159
11,4,128,32,3,prefix,771.7808355,663.4009796284763,758.4385835,2667.7708075,1900.4580395,61.305098048387094,65.24798380509316,47.98052751743639,10,1.6725612986901988,41.57594218592942,B4_S128_N32,297139200,242595840,3145728,255163392,11722752,159
5,4,128,32,6,prefix,536.854734,953.8317548686741,537.5574795,1953.1726565,1418.06473,45.7440235483871,87.44476265894113,65.53446764429245,10,1.9143708560052741,55.67193603433208,B4_S128_N32,397922304,327650304,6291456,170108928,23445504,159
36,4,128,32,9,prefix,294.3934155,1739.1960936191126,293.13892250000004,1186.021405,891.905759,28.771153516129033,139.02825703472087,107.9238647471701,10,1.7849185401927872,94.21547473407608,B4_S128_N32,506769920,412704768,9437184,85054464,35168256,159
40,4,128,32,12,prefix,27.796071,18420.044968500224,46.168662999999995,360.088504,309.2063035,9.974396887096773,401.0313985393029,355.4726277951347,10,1.0272759015933484,356.8833766397555,B4_S128_N32,619120128,497759232,12582912,0,46891008,159
1,4,512,32,0,prefix,6773.295067,303.75914215239095,7405.829326,12140.1791565,4284.367113,138.20539074193547,28.94243227877177,10.543558800178175,10,1.1627979363749184,10.280807132365979,B4_S512_N32,0,0,0,497759232,0,543
43,4,512,32,3,prefix,4839.272299,423.2051931462641,6374.2622215,9078.113287,2723.794739,87.86434641935486,45.52474409639735,14.09985171138117,10,1.0224381140398078,14.0692861721588,B4_S512_N32,426650624,242595840,3145728,255163392,40034304,543
41,4,512,32,6,prefix,3164.756844,647.3238673160561,3065.849541,6153.942788,1934.8329055000004,62.413964693548394,64.08823942892406,20.7996868242926,10,1.0692301921185816,21.616209712869612,B4_S512_N32,552599552,327650304,6291456,170108928,80068608,543
35,4,512,32,9,prefix,1424.3775815,1437.82810677322,1427.051978,2562.276686,1140.980174,36.80581206451613,108.67975590447992,49.95559007401877,10,1.5681774297071365,42.97241065728463,B4_S512_N32,678548480,412704768,9437184,85054464,120102912,543
32,4,512,32,12,prefix,199.82441899999998,10249.029595118493,220.60909900000001,529.1756215,310.7788765,10.025125048387098,398.99759163410954,241.88933068810513,10,1.0345804215207974,240.28971182393707,B4_S512_N32,847885824,497759232,12582912,0,160137216,543
